"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
8.332043620E-1,-2.230500132E-1,5.295000225E-2,9.843000412E0
8.357047450E-1,-2.610000074E-1,6.300000101E-2,9.819000244E0
8.382050540E-1,-2.560500205E-1,4.605000094E-2,9.847950935E0
8.407055910E-1,-2.320500165E-1,3.705000132E-2,9.834000587E0
8.432059010E-1,-2.370000184E-1,5.295000225E-2,9.847950935E0
8.457062030E-1,-2.370000184E-1,5.295000225E-2,9.829050064E0
8.482065860E-1,-2.370000184E-1,3.195000067E-2,9.829050064E0
8.507068960E-1,-2.230500132E-1,3.405000269E-2,9.862950325E0
8.532074320E-1,-2.440500110E-1,4.095000029E-2,9.853050232E0
8.557077420E-1,-2.250000089E-1,2.700000070E-2,9.846000671E0
8.582081240E-1,-2.089500129E-1,3.405000269E-2,9.847950935E0
8.607084340E-1,-2.010000050E-1,2.505000122E-2,9.855000496E0
8.632089710E-1,-2.110500038E-1,3.900000080E-2,9.843000412E0
8.657092710E-1,-2.130000144E-1,4.095000029E-2,9.850950241E0
8.682095790E-1,-2.040000111E-1,3.405000269E-2,9.843000412E0
8.707099620E-1,-2.110500038E-1,5.295000225E-2,9.846000671E0
8.732102710E-1,-2.059500068E-1,3.900000080E-2,9.858000755E0
8.757107790E-1,-2.230500132E-1,4.605000094E-2,9.859950066E0
8.782110880E-1,-2.160000056E-1,3.405000269E-2,9.838950157E0
8.807113960E-1,-2.059500068E-1,4.905000329E-2,9.850950241E0
8.832117790E-1,-2.110500038E-1,4.905000329E-2,9.855000496E0
8.857120880E-1,-2.089500129E-1,5.805000290E-2,9.841050148E0
8.882126300E-1,-2.110500038E-1,3.405000269E-2,9.846000671E0
8.907129400E-1,-2.010000050E-1,2.505000122E-2,9.838950157E0
8.932132470E-1,-2.059500068E-1,2.505000122E-2,9.850950241E0
8.957136300E-1,-1.849500090E-1,3.705000132E-2,9.847950935E0
8.982139450E-1,-1.920000017E-1,7.950000465E-3,9.850950241E0
9.007144810E-1,-2.059500068E-1,2.505000122E-2,9.838950157E0
9.032147910E-1,-1.870500147E-1,2.205000073E-2,9.834000587E0
9.057151730E-1,-1.849500090E-1,1.800000109E-2,9.850950241E0
9.082154980E-1,-1.890000105E-1,2.700000070E-2,9.850950241E0
9.107158060E-1,-1.849500090E-1,4.095000029E-2,9.865050316E0
9.132163420E-1,-1.729500145E-1,1.995000057E-2,9.853050232E0
9.157166520E-1,-1.969500035E-1,2.700000070E-2,9.850950241E0
9.182170350E-1,-1.800000072E-1,3.000000119E-2,9.841050148E0
9.207173290E-1,-1.800000072E-1,3.900000080E-2,9.843000412E0
9.232178660E-1,-1.890000105E-1,3.705000132E-2,9.855000496E0
9.257181750E-1,-1.890000105E-1,1.995000057E-2,9.829050064E0
9.282185580E-1,-1.870500147E-1,4.395000264E-2,9.846000671E0
9.307188590E-1,-1.920000017E-1,3.705000132E-2,9.846000671E0
9.332191660E-1,-1.890000105E-1,3.195000067E-2,9.847950935E0
9.357194740E-1,-1.920000017E-1,3.405000269E-2,9.843000412E0
9.382200110E-1,-2.110500038E-1,3.000000119E-2,9.838950157E0
9.407203200E-1,-1.920000017E-1,2.205000073E-2,9.853050232E0
9.432207410E-1,-1.920000017E-1,3.000000026E-3,9.847950935E0
9.457210510E-1,-1.990500093E-1,1.005000062E-2,9.853050232E0
9.482215870E-1,-1.890000105E-1,2.700000070E-2,9.850950241E0
9.507218970E-1,-1.650000066E-1,1.800000109E-2,9.841050148E0
9.532222550E-1,-1.680000126E-1,1.005000062E-2,9.843000412E0
9.557225650E-1,-1.849500090E-1,3.000000026E-3,9.823950768E0
9.582228730E-1,-1.890000105E-1,1.500000060E-2,9.843000412E0
9.607234090E-1,-1.750500053E-1,1.305000018E-2,9.843000412E0
9.632237190E-1,-1.849500090E-1,2.505000122E-2,9.835950851E0
9.657241020E-1,-1.770000011E-1,3.195000067E-2,9.841050148E0
9.682244110E-1,-1.990500093E-1,3.195000067E-2,9.850950241E0
9.707247190E-1,-2.040000111E-1,3.000000119E-2,9.855000496E0
9.732252550E-1,-1.890000105E-1,2.205000073E-2,9.841050148E0
9.757255840E-1,-1.969500035E-1,2.505000122E-2,9.843000412E0
9.782259670E-1,-2.010000050E-1,3.705000132E-2,9.841050148E0
